Line of Business,Client,Project ,Manager/Director,Project Manager,Contract Type,Status,Budget,Assigned To,Review,Internal Completion Date ,Due Date (External),BQE Project #,Region,ISO/TSO/Utility,Technology,Project Source,Notes,Column1
Generation Interconnection,Advanced Power (NA) ,Calypte Storage T2 - T2 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",Georgette Khanfour,Yang Zhou,,1-Dec-26,,WECC,,BESS,,TEP window closes on MAy 3rd,
Generation Interconnection,Advanced Power (NA) ,Verdin Solar T2 - T2 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",,,,1-Dec-26,powerclerk (106 but only 53 operational at the time) pscad- flat +bump,WECC,,Solar,,resubmit now. May 15?,
Generation Interconnection,Advanced Power (NA) ,Verdin Storage T2 - T2 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",Georgette Khanfour,Yang Zhou,,1-Dec-26,,WECC,,BESS,,,
Generation Interconnection,Advanced Power Services Inc,Eastland TASK 1: ERCOT SS & FIS INTERCONNECTION APPLICATION (CONVENTIONAL) ,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"27,200",Georgette Khanfour,Bikram Bhandari,3/13/2026,30-Mar-26,404135,ERCOT,,reciprocating engine,,no PUN for now. maybe later,
Generation Interconnection,Advanced Power Services Inc,Eastland  Task 2: ERCOT PSS/E Model Quality Test and,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"26,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,404135,ERCOT,,reciprocating engine,,,
,,Tuning (Conventional) ,,,,,,,,,,,,,,,,
Generation Interconnection,Advanced Power Services Inc,Eastland  Task 3: General Interconnection Support ,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,404135,ERCOT,,reciprocating engine,,,
Generation Interconnection,Advanced Power Services Inc,callahan TASK 1: ERCOT SS & FIS INTERCONNECTION APPLICATION (CONVENTIONAL) ,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Can be Invoiced and Closed,"34,000",Georgette Khanfour,Bikram Bhandari,3/20/2026,30-Mar-26,404134,ERCOT,,reciprocating engine,,no PUN for now. maybe later,
Generation Interconnection,Advanced Power Services Inc,callahan Task 2: ERCOT PSS/E Model Quality Test and,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"33,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,404134,ERCOT,,reciprocating engine,,,
,,Tuning (Conventional) ,,,,,,,,,,,,,,,,
Generation Interconnection,Advanced Power Services Inc,callahan Task 3: General Interconnection Support ,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",Georgette Khanfour,Bikram Bhandari,,1-Dec-26,404134,ERCOT,,reciprocating engine,,,
Generation Interconnection,AES,Crescent (Dundee) Wind T2- PSSE MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"25,000",,Bikram Bhandari,14-Aug,21-Aug-26,402172,ERCOT,,wind,,feb 2027 qsa,
Generation Interconnection,AES,Crescent (Dundee) Wind T4-PSCAD model development,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"25,000",,Bikram Bhandari,14-Aug,21-Aug-26,402172,ERCOT,,wind,,,
Generation Interconnection,AES,Crescent (Dundee) Wind T5-PSCAD MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"32,000",,Bikram Bhandari,14-Aug,21-Aug-26,402172,ERCOT,,wind,,,
Generation Interconnection,AES,"Crescent (Dundee) Wind T6-PSSE , PSCAD benchmarking",Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"12,000",,Bikram Bhandari,14-Aug,21-Aug-26,402172,ERCOT,,wind,,,
Generation Interconnection,AES,Crescent (Dundee) Wind T7-TSAT model development,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"22,000",,Bikram Bhandari,,1-Dec-26,402172,ERCOT,,wind,,,
Generation Interconnection,AES,Crescent (Dundee) Wind T8-TSAT MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"28,000",,Bikram Bhandari,,1-Dec-26,402172,ERCOT,,wind,,,
Generation Interconnection,AES,Crescent (Dundee) Wind T10-planning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"25,000",,Bikram Bhandari,,1-Dec-26,402172,ERCOT,,wind,,,
Generation Interconnection,AES,Crescent (Dundee) Wind T11-Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"30,000",,Bikram Bhandari,,1-Dec-26,402172,ERCOT,,wind,,,
Generation Interconnection,AES,Crescent (Dundee) Wind T12-Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"5,000",,Bikram Bhandari,14-Aug,21-Aug-26,402172,ERCOT,,wind,,PO?,
Generation Interconnection,AES,Crescent (Dundee) Solar T2- PSSE MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"17,000",,Bikram Bhandari,,31-Oct-26,402171,ERCOT,,PV,,sow for combined?,
Generation Interconnection,AES,Crescent (Dundee) Solar T4-PSCAD model development,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"17,000",,Bikram Bhandari,,31-Oct-26,402171,ERCOT,,PV,,,
Generation Interconnection,AES,Crescent (Dundee) Solar T5-PSCAD MQT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"21,000",,Bikram Bhandari,,31-Oct-26,402171,ERCOT,,PV,,,
Generation Interconnection,AES,"Crescent (Dundee) Solar T6-PSSE , PSCAD benchmarking",Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,In progress,"9,000",,Bikram Bhandari,,31-Oct-26,402171,ERCOT,,PV,,,
Generation Interconnection,AES,Crescent (Dundee) Solar T7-reactive study,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"20,000",,Bikram Bhandari,,5-Dec-26,402171,ERCOT,,PV,,cancel?,
Generation Interconnection,AES,Crescent (Dundee) Solar T8-planning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"25,000",,Bikram Bhandari,,6-Dec-26,402171,ERCOT,,PV,,,
Generation Interconnection,AES,Crescent (Dundee) Solar T9-Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"30,000",,Bikram Bhandari,,7-Dec-26,402171,ERCOT,,PV,,,
Generation Interconnection,AES,Crescent (Dundee) Solar T11-Aspen,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Hold (other reason),"5,000",,Bikram Bhandari,,8-Dec-26,402171,ERCOT,,PV,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass BESS T2 - T2 ERCOT Model Quality Test and VRT Tuning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"10,000",Anthony Saab,Bikram Bhandari,22-Mar,28-Mar-24,,ERCOT,,BESS, ,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass Solar T2.1 - T2.1 ERCOT Model Quality Test and VRT Tuning,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"10,000",Anthony Saab,Bikram Bhandari,22-Mar,28-Mar-24,,ERCOT,,Solar,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass Solar T2.2 - T2.2 ERCOT Model Quality Test and VRT Tuning (Combined,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"10,000",Anthony Saab,Bikram Bhandari,22-Mar,28-Mar-24,,ERCOT,,Solar,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass BESS T5 - T5 Plant Aspen Model,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"5,000",Anthony Saab,Bikram Bhandari,15-Apr,29-Apr-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass Solar T5 - TASK 5: PLANT ASPEN MODEL,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"5,000",Anthony Saab,Bikram Bhandari,15-Apr,29-Apr-24,,ERCOT,,Solar,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass BESS T3 - T3 FIS Scoping Meeting & Assistance in Negotiation of the FIS Scope,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,can be invoiced and closed,"3,000",Anthony Saab,Bikram Bhandari,,6-Jun-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC 29 Weston T3 - T3 PSS/E MODEL QUALITY TEST AND VRT TUNING,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Anthony Saab,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass BESS T4 - T4 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",,,,1-Dec-26,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,Eagle Pass Solar T4 - T4 Project Interconnection Support,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Invoice time spent at end of month,"5,000",,,,1-Dec-26,,ERCOT,,Solar,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC 29 Weston T1 - T1 TDSP INTERCONNECTION APPLICATION OF DISTRIBUTED GENERATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Anthony Saab,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC 29 Weston T2 - T2 ERCOT DGR FULL REGISTRATION APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"10,000",Anthony Saab,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC 29 Weston T4 - T4 PSCAD™ PLANT MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Anthony Saab,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC 29 Weston T5 - T5 PSCAD™ MODEL QUALITY TEST,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Anthony Saab,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC 29 Weston T6 - T6 ADDITIONAL TECHNICAL SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"15,000",Anthony Saab,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
,,,,,,,,,,,,,,,,,on hold for now,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC2 Callaway T1 - T1 ERCOT DGR FULL REGISTRATION APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Georgette Khanfour,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
,,,,,,,,,,,,,,,,,"We are still talking to AEP on which inverter equipment we are going to use on these projects, so I will send the RFI as soon as I confirm this information from the utility. ",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC2 Callaway T2 - T2 PSS/E MODEL QUALITY TEST AND VRT TUNING,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Georgette Khanfour,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC2 Callaway T3 - T3 PSCAD™ PLANT MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Georgette Khanfour,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC2 Callaway T4 - T4 PSCAD™ MODEL QUALITY TEST,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Georgette Khanfour,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC2 Callaway T5 - T5 ADDITIONAL TECHNICAL SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"15,000",Georgette Khanfour,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,,
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC5 Valley Baptist T1 - T1 ERCOT DGR FULL REGISTRATION APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Lena Barakat,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC5 Valley Baptist T2 - T2 PSS/E MODEL QUALITY TEST AND VRT TUNING,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Lena Barakat,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC5 Valley Baptist T3 - T3 PSCAD™ PLANT MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Lena Barakat,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC5 Valley Baptist T4 - T4 PSCAD™ MODEL QUALITY TEST,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Lena Barakat,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC5 Valley Baptist T5 - T5 ADDITIONAL TECHNICAL SUPPORT & MEETINGS,Joelle Abi-Nahed,Joelle Abi-Nahed,HNTE,Mark as Cancelled,"15,000",Lena Barakat,Behzad Jandaghi,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC7 T1 - T1 ERCOT DGR FULL REGISTRATION APPLICATION,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Anthony Saab,Bikram Bhandari,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC7 T2 - T2 PSS/E MODEL QUALITY TEST AND VRT TUNING,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Anthony Saab,Bikram Bhandari,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC7 T3 - T3 PSCAD™ PLANT MODEL DEVELOPMENT,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"11,000",Anthony Saab,Bikram Bhandari,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
Generation Interconnection,AETS DEVELOPMENT HOLDINGS LLC ,PC7 T4 - T4 PSCAD™ MODEL QUALITY TEST,Joelle Abi-Nahed,Joelle Abi-Nahed,Fixed,Mark as Cancelled,"14,000",Anthony Saab,Bikram Bhandari,,1-Dec-24,,ERCOT,,BESS,,"Our target COD is 03/31/25, so around 11/01 PLD is fine / 8/1 deadline",
